alg,nTubes,tubeH,nColors,nMovesMin,nMovesMean,nMovesMax,memMBMin,memMBMean,memMBMax,tmsMin,tmsMean,tmsMax
astar-admissible,2,4,1,1,1,1,0.132,0.132,0.132,0.014931,0.0173023,0.021414
astar-admissible,3,4,1,1,1,1,0.132,0.174175,0.264,0.031802,0.042409,0.060538
astar-admissible,4,4,2,1,1,1,0.264,0.367063,0.528,0.155615,0.242798,0.495628
astar-admissible,5,4,2,1,1,1,0.396,0.530819,0.66,0.30037,0.423937,0.553626
astar-admissible,6,4,3,1,1,1,0.924,1.53458,2.508,1.00308,1.90579,3.22063
astar-admissible,7,4,3,1,1,1,1.584,3.00509,6.864,1.47616,3.92899,11.0638
astar-admissible,8,4,4,1,1,1,3.168,6.48136,30.272,3.4573,9.34476,66.9799
astar-admissible,9,4,4,1,1,1,4.616,8.6344,16.228,6.3302,12.9829,30.8372
astar-admissible,10,4,5,1,1,1,8.448,21.526,37.244,11.2966,36.9045,75.9837
astar-admissible,11,4,5,1,1,1,16.24,65.4403,484.496,21.4655,121.232,1059.06
astar-admissible,12,4,6,1,1,1,17.68,88.1633,2148.17,22.2525,165.737,5470.21
astar-admissible,13,4,6,1,1,1,19.536,164.162,2932.78,28.9611,326.072,7331.62
astar-admissible,14,4,7,1,1,1,40.376,187.068,1240.89,64.3888,354.531,2364.31
astar-admissible,15,4,7,1,1,1,170.52,634.003,5245.97,306.974,1385.95,11711.5
