alg,nTubes,tubeH,nColors,nMovesMin,nMovesMean,nMovesMax,memMBMin,memMBMean,memMBMax,tmsMin,tmsMean,tmsMax
astar-nonadmissible,2,4,1,1,1,1,0.132,0.132,0.132,0.015008,0.0169862,0.021829
astar-nonadmissible,3,4,1,1,1,1,0.132,0.174175,0.264,0.031481,0.0405694,0.056869
astar-nonadmissible,4,4,2,1,1,1,0.264,0.336712,0.396,0.16964,0.208383,0.276084
astar-nonadmissible,5,4,2,1,1,1,0.396,0.521229,0.66,0.304122,0.409493,0.573601
astar-nonadmissible,6,4,3,1,1,1,0.924,1.08254,1.32,1.04168,1.19671,1.63424
astar-nonadmissible,7,4,3,1,1,1,1.584,1.71004,1.848,1.38196,1.76168,2.06848
astar-nonadmissible,8,4,4,1,1,1,2.244,2.68072,3.296,2.25855,2.94713,3.75394
astar-nonadmissible,9,4,4,1,1,1,3.56,3.91044,4.484,3.98852,4.55001,5.51432
astar-nonadmissible,10,4,5,1,1,1,5.412,6.47728,7.664,6.53796,7.78246,9.4887
astar-nonadmissible,11,4,5,1,1,1,8.312,8.94827,10.16,9.4932,11.2441,13.1963
astar-nonadmissible,12,4,6,1,1,1,8.976,12.0805,17.688,11.9432,15.4768,22.0678
astar-nonadmissible,13,4,6,1,1,1,19,18.5565,19.164,27.1596,28.3371,30.1461
astar-nonadmissible,14,4,7,1,1,1,20.588,23.3219,26.272,30.5737,35.7522,39.85
astar-nonadmissible,15,4,7,1,1,1,24.056,27.5012,30.54,35.6184,42.7302,47.7738
