alg,nTubes,tubeH,nColors,nMovesMin,nMovesMean,nMovesMax,memMBMin,memMBMean,memMBMax,tmsMin,tmsMean,tmsMax
dfs-greedy-admissible,2,4,1,1,1,1,0.132,0.132,0.132,0.003689,0.00450186,0.007019
dfs-greedy-admissible,3,4,1,1,1,1,0.132,0.132,0.132,0.006629,0.00869524,0.012442
dfs-greedy-admissible,4,4,2,1,1,1,0.132,0.132,0.132,0.027246,0.0355886,0.042349
dfs-greedy-admissible,5,4,2,1,1,1,0.132,0.132,0.132,0.047507,0.0593336,0.071939
dfs-greedy-admissible,6,4,3,1,1,1,0.264,0.246321,0.264,0.106212,0.134711,0.157205
dfs-greedy-admissible,7,4,3,1,1,1,0.264,0.264,0.264,0.17185,0.204361,0.235473
dfs-greedy-admissible,8,4,4,1,1,1,0.264,0.264,0.264,0.313696,0.345299,0.387854
dfs-greedy-admissible,9,4,4,1,1,1,0.264,0.264,0.264,0.430762,0.519567,0.647297
dfs-greedy-admissible,10,4,5,1,1,1,0.264,0.365155,0.396,0.654581,0.72796,0.779456
dfs-greedy-admissible,11,4,5,1,1,1,0.396,0.396,0.396,0.991097,1.04846,1.16421
dfs-greedy-admissible,12,4,6,1,1,1,0.396,0.470607,0.528,1.2013,1.44638,1.72057
dfs-greedy-admissible,13,4,6,1,1,1,0.528,0.513027,0.528,2.11546,2.28076,2.47928
dfs-greedy-admissible,14,4,7,1,1,1,0.524,0.576418,0.66,2.54395,3.05062,3.59279
dfs-greedy-admissible,15,4,7,1,1,1,0.516,0.581165,0.644,3.14796,3.59963,3.9376
