alg,nTubes,tubeH,nColors,nMovesMin,nMovesMean,nMovesMax,memMBMin,memMBMean,memMBMax,tmsMin,tmsMean,tmsMax
astar-nonadmissible,2,4,1,1,1,1,0.132,0.132,0.132,0.025435,0.0302093,0.038624
astar-nonadmissible,3,4,1,1,1,1,0.132,0.174175,0.264,0.047111,0.0608414,0.0871
astar-nonadmissible,4,4,2,1,1,1,0.264,0.336712,0.396,0.186237,0.238831,0.298373
astar-nonadmissible,5,4,2,1,1,1,0.396,0.521229,0.66,0.326962,0.473061,0.633862
astar-nonadmissible,6,4,3,1,1,1,0.924,1.08254,1.32,0.921889,1.21642,1.5444
astar-nonadmissible,7,4,3,1,1,1,1.584,1.71004,1.848,1.48107,1.99285,2.69865
astar-nonadmissible,8,4,4,1,1,1,2.244,2.68072,3.296,2.53586,3.19364,3.94472
astar-nonadmissible,9,4,4,1,1,1,3.56,3.91044,4.484,4.24235,4.6133,5.02778
astar-nonadmissible,10,4,5,1,1,1,5.412,6.47728,7.664,6.33832,7.44735,8.93724
astar-nonadmissible,11,4,5,1,1,1,8.312,8.94827,10.16,9.5851,10.8355,12.5288
astar-nonadmissible,12,4,6,1,1,1,8.976,12.0805,17.688,11.3791,14.6025,21.4226
astar-nonadmissible,13,4,6,1,1,1,19,18.5565,19.164,26.6926,27.2011,29.8475
astar-nonadmissible,14,4,7,1,1,1,20.588,23.3219,26.272,29.7274,34.3024,38.8314
astar-nonadmissible,15,4,7,1,1,1,24.056,27.5012,30.54,36.1802,40.9199,45.008
