alg,nTubes,tubeH,nColors,nMovesMin,nMovesMean,nMovesMax,memMBMin,memMBMean,memMBMax,tmsMin,tmsMean,tmsMax
dfs-greedy-admissible,2,4,1,1,1,1,0.132,0.132,0.132,0.011115,0.0130571,0.018632
dfs-greedy-admissible,3,4,1,1,1,1,0.132,0.132,0.132,0.014796,0.0172164,0.021555
dfs-greedy-admissible,4,4,2,1,1,1,0.132,0.132,0.132,0.039766,0.0478477,0.05549
dfs-greedy-admissible,5,4,2,1,1,1,0.132,0.132,0.132,0.061076,0.0746277,0.087964
dfs-greedy-admissible,6,4,3,1,1,1,0.264,0.246321,0.264,0.133867,0.162161,0.186183
dfs-greedy-admissible,7,4,3,1,1,1,0.264,0.264,0.264,0.203499,0.230753,0.26142
dfs-greedy-admissible,8,4,4,1,1,1,0.264,0.264,0.264,0.328465,0.374115,0.436914
dfs-greedy-admissible,9,4,4,1,1,1,0.264,0.264,0.264,0.541021,0.587661,0.645368
dfs-greedy-admissible,10,4,5,1,1,1,0.264,0.365155,0.396,0.729847,0.813447,0.882225
dfs-greedy-admissible,11,4,5,1,1,1,0.396,0.396,0.396,0.900062,1.15895,1.31997
dfs-greedy-admissible,12,4,6,1,1,1,0.396,0.470607,0.528,1.17212,1.5012,1.88341
dfs-greedy-admissible,13,4,6,1,1,1,0.528,0.513027,0.528,2.39526,2.6101,2.9772
dfs-greedy-admissible,14,4,7,1,1,1,0.524,0.576418,0.66,3.11328,3.34466,3.60811
dfs-greedy-admissible,15,4,7,1,1,1,0.516,0.581165,0.644,3.51747,4.03708,4.68444
