alg,nTubes,tubeH,nColors,nMovesMin,nMovesMean,nMovesMax,memMBMin,memMBMean,memMBMax,tmsMin,tmsMean,tmsMax
greedy-admissible,2,4,1,1,1,1,0.132,0.132,0.132,0.013091,0.0151001,0.018456
greedy-admissible,3,4,1,1,1,1,0.132,0.151628,0.264,0.024202,0.035129,0.062349
greedy-admissible,4,4,2,1,1,1,0.264,0.274924,0.264,0.123474,0.175624,0.239557
greedy-admissible,5,4,2,1,1,1,0.396,0.484342,0.528,0.246599,0.359674,0.459184
greedy-admissible,6,4,3,1,1,1,0.66,0.940046,1.056,0.734123,0.933908,1.17356
greedy-admissible,7,4,3,1,1,1,1.188,1.35195,1.452,1.20951,1.45994,1.95392
greedy-admissible,8,4,4,1,1,1,2.368,2.2787,2.376,2.19328,2.49895,2.88779
greedy-admissible,9,4,4,1,1,1,2.64,2.93007,3.3,3.32515,3.69736,4.22635
greedy-admissible,10,4,5,1,1,1,5.544,5.58941,5.684,5.98526,6.74558,7.34542
greedy-admissible,11,4,5,1,1,1,6.084,6.57217,7.524,8.1306,9.30259,10.4612
greedy-admissible,12,4,6,1,1,1,6.6,9.80825,13.068,8.45741,12.9495,18.4338
greedy-admissible,13,4,6,1,1,1,13.988,14.0598,14.128,23.0347,24.4816,25.7948
greedy-admissible,14,4,7,1,1,1,15.18,16.8323,18.752,25.5961,29.1386,33.5683
greedy-admissible,15,4,7,1,1,1,17.212,22.1618,32.076,31.3722,36.5482,46.7105
